case,time,x,y
0.136,0.004,0.0060816095210611,0.127997756004333
0.136,0.004,0.0065828831866383,0.128397300839424
0.136,0.004,0.0070575168356299,0.128828167915344
0.136,0.004,0.0075035593472421,0.129288569092751
0.136,0.004,0.007919174619019,0.12977659702301
0.136,0.004,0.0083026504144072,0.130290269851685
0.136,0.004,0.0086524095386266,0.130827471613884
0.136,0.004,0.0089670121669769,0.131385996937752
0.136,0.004,0.0092451628297567,0.131963536143303
0.136,0.004,0.0094857169315218,0.132557705044746
0.136,0.004,0.0096876844763755,0.133166089653969
0.136,0.004,0.0098502337932586,0.133786171674728
0.136,0.004,0.0099726971238851,0.1344153881073
0.136,0.004,0.0100545715540648,0.135051161050797
0.136,0.004,0.010095520876348,0.13569088280201
0.136,0.004,0.0100953793153167,0.136331915855408
0.136,0.004,0.0100541478022933,0.136971607804298
0.136,0.004,0.0099719995632767,0.137607350945473
0.136,0.004,0.0098492754623293,0.138236522674561
0.136,0.004,0.0096864802762866,0.138856545090675
0.136,0.004,0.0094842882826924,0.139464855194092
0.136,0.004,0.0092435320839285,0.140058949589729
0.136,0.004,0.0089652044698596,0.140636399388313
0.136,0.004,0.0086504528298974,0.141194850206375
0.136,0.004,0.0083005707710981,0.141731977462769
0.136,0.004,0.0079169990494847,0.142245575785637
0.136,0.004,0.0075013153254985,0.142733559012413
0.136,0.004,0.0070552271790802,0.143193915486336
0.136,0.004,0.0065805702470243,0.143624767661095
0.136,0.004,0.0060792909935116,0.144024312496185
0.136,0.004,0.0055534527637064,0.14439095556736
0.136,0.004,0.0050052087754011,0.144723147153854
0.136,0.004,0.0044368179515004,0.145019546151161
0.136,0.004,0.0038506055716425,0.145278930664062
0.136,0.004,0.003248986788094,0.145500242710114
0.136,0.004,0.0026344258803874,0.14568255841732
0.136,0.004,0.0020094495266675,0.145825132727623
0.136,0.004,0.0013766241027042,0.145927384495735
0.136,0.004,0.0007385477074421,0.145988881587982
0.136,0.004,9.78410971583799e-05,0.146009370684624
0.136,0.005,0.0001668451732257,0.126023501157761
0.136,0.005,0.0008075656951405,0.126043722033501
0.136,0.005,0.0014456642093136,0.126104950904846
0.136,0.005,0.0020785355009138,0.126206949353218
0.136,0.005,0.0027035607490688,0.126349285244942
0.136,0.005,0.0033181875478476,0.126531377434731
0.136,0.005,0.0039198785088956,0.126752480864525
0.136,0.005,0.004506167024374,0.127011686563492
0.136,0.005,0.0050746374763548,0.127307921648026
0.136,0.005,0.0056229541078209,0.12763999402523
0.136,0.005,0.0061488575302064,0.128006517887115
0.136,0.005,0.0066501875407993,0.128406003117561
0.136,0.005,0.0071248752065002,0.128836795687675
0.136,0.005,0.007570968940854,0.129297137260437
0.136,0.005,0.0079866303130984,0.129785135388374
0.136,0.005,0.0083701452240347,0.130298778414726
0.136,0.005,0.0087199360132217,0.130835965275764
0.136,0.005,0.0090345591306686,0.13139446079731
0.136,0.005,0.0093127200379967,0.131972000002861
0.136,0.005,0.0095532704144716,0.132566168904305
0.136,0.005,0.0097552221268415,0.133174553513527
0.136,0.005,0.0099177416414022,0.133794635534286
0.136,0.005,0.0100401611998677,0.134423866868019
0.136,0.005,0.0101219788193703,0.135059654712677
0.136,0.005,0.0101628582924604,0.13569937646389
0.136,0.005,0.0101626347750425,0.136340394616127
0.136,0.005,0.0101213119924068,0.136980086565018
0.136,0.005,0.0100390613079071,0.137615814805031
0.136,0.005,0.0099162273108959,0.138244971632957
0.136,0.005,0.009753318503499,0.138864949345589
0.136,0.005,0.0095510073006153,0.139473214745522
0.136,0.005,0.0093101318925619,0.140067264437675
0.136,0.005,0.0090316841378808,0.140644669532776
0.136,0.005,0.0087168142199516,0.141203030943871
0.136,0.005,0.0083668185397982,0.141740083694458
0.136,0.005,0.0079831378534436,0.142253622412682
0.136,0.005,0.0075673521496355,0.142741516232491
0.136,0.005,0.0071211694739759,0.143201783299446
0.136,0.005,0.006646426860243,0.143632531166077
0.136,0.005,0.0061450693756341,0.1440319865942
0.136,0.005,0.005619163159281,0.144398525357246
0.136,0.005,0.005070858169347,0.144730612635612
0.136,0.005,0.004502416588366,0.145026922225952
0.136,0.005,0.0039161606691777,0.145286217331886
0.136,0.005,0.0033145071938633,0.145507425069809
0.136,0.005,0.0026999176479876,0.145689651370049
0.136,0.005,0.0020749210380017,0.145832136273384
0.136,0.005,0.001442079548724,0.145934298634529
0.136,0.005,0.0008039950043894,0.145995706319809
0.136,0.005,0.0001632827043067,0.146016120910645
0.136,0.006,0.0002544171584304,0.126036167144775
0.136,0.006,0.0008951447671279,0.126056253910065
0.136,0.006,0.0015332581242546,0.126117348670959
0.136,0.006,0.0021661517675966,0.126219213008881
0.136,0.006,0.0027912075165659,0.126361399888992
0.136,0.006,0.0034058722667396,0.12654335796833
0.136,0.006,0.0040076090954244,0.126764342188835
0.136,0.006,0.0045939479023218,0.127023428678513
0.136,0.006,0.0051624756306409,0.127319559454918
0.136,0.006,0.0057108527980744,0.127651527523994
0.136,0.006,0.0062368190847337,0.128017961978912
0.136,0.006,0.0067382133565843,0.128417357802391
0.136,0.006,0.0072129634208977,0.12884809076786
0.136,0.006,0.0076591176912188,0.129308372735977
0.136,0.006,0.0080748330801725,0.12979631125927
0.136,0.006,0.0084583954885602,0.130309924483299
0.136,0.006,0.0088082244619727,0.130847081542015
0.136,0.006,0.0091228755190968,0.131405562162399
0.136,0.006,0.0094010503962636,0.131983086466789
0.136,0.006,0.0096416026353836,0.132577255368233
0.136,0.006,0.0098435385152697,0.133185639977455
0.136,0.006,0.0100060282275081,0.133805721998215
0.136,0.006,0.0101284021511674,0.134434968233109
0.136,0.006,0.0102101573720574,0.135070756077766
0.136,0.006,0.0102509595453739,0.135710477828979
0.136,0.006,0.0102506438270211,0.136351495981216
0.136,0.006,0.0102092148736119,0.136991187930107
0.136,0.006,0.0101268477737904,0.137626901268959
0.136,0.006,0.010003887116909,0.138256013393402
0.136,0.006,0.0098408423364162,0.138875961303711
0.136,0.006,0.0096383914351463,0.13948418200016
0.136,0.006,0.0093973716720938,0.140078172087669
0.136,0.006,0.0091187795624136,0.140655502676964
0.136,0.006,0.0088037652894854,0.141213789582253
0.136,0.006,0.0084536299109458,0.141750752925873
0.136,0.006,0.0080698141828179,0.142264172434807
0.136,0.006,0.0076539004221558,0.142751961946487
0.136,0.006,0.0072075966745615,0.143212109804153
0.136,0.006,0.0067327436991035,0.143642738461494
0.136,0.006,0.0062312837690115,0.144042074680328
0.136,0.006,0.0057052872143685,0.144408479332924
0.136,0.006,0.0051569016650319,0.144740447402
0.136,0.006,0.0045883902348578,0.145036607980728
0.136,0.006,0.0040020761080086,0.145295768976212
0.136,0.006,0.0034003732725977,0.145516857504845
0.136,0.006,0.0027857439126819,0.145698949694633
0.136,0.006,0.0021607184316963,0.14584131538868
0.136,0.006,0.0015278533101081,0.145943328738213
0.136,0.006,0.0008897565421648,0.146004617214203
0.136,0.006,0.0002490364422556,0.146024897694588
0.136,0.007,0.0003629575949162,0.126051634550095
0.136,0.007,0.0010036933235824,0.12607154250145
0.136,0.007,0.0016418241430074,0.126132473349571
0.136,0.007,0.0022747409529984,0.12623418867588
0.136,0.007,0.0028998323250562,0.12637622654438
0.136,0.007,0.0035145389847457,0.126558035612106
0.136,0.007,0.0041163270361721,0.126778870820999
0.136,0.007,0.0047027231194078,0.127037838101387
0.136,0.007,0.0052713137120008,0.127333834767342
0.136,0.007,0.0058197570033371,0.12766569852829
0.136,0.007,0.0063457931391894,0.128032028675079
0.136,0.007,0.006847258657217,0.128431335091591
0.136,0.007,0.0073220781050622,0.128861978650093
0.136,0.007,0.0077682984992861,0.129322201013565
0.136,0.007,0.0081840744242072,0.129810094833374
0.136,0.007,0.0085676908493042,0.13032366335392
0.136,0.007,0.0089175626635551,0.130860775709152
0.136,0.007,0.0092322453856468,0.131419241428375
0.136,0.007,0.0095104360952973,0.131996750831604
0.136,0.007,0.0097509920597076,0.132590919733047
0.136,0.007,0.0099529130384326,0.133199319243431
0.136,0.007,0.0101153710857034,0.133819401264191
0.136,0.007,0.0102376956492662,0.134448647499084
0.136,0.007,0.0103193838149309,0.135084435343742
0.136,0.007,0.0103601012378931,0.135724171996117
0.136,0.007,0.0103596849367023,0.136365190148354
0.136,0.007,0.0103181395679712,0.137004867196083
0.136,0.007,0.0102356430143118,0.137640550732613
0.136,0.007,0.0101125407963991,0.138269647955894
0.136,0.007,0.0099493460729718,0.13888955116272
0.136,0.007,0.0097467377781868,0.139497712254524
0.136,0.007,0.0095055541023612,0.140091642737389
0.136,0.007,0.009226799942553,0.140668883919716
0.136,0.007,0.0089116208255291,0.141227081418037
